N. furzeri Protein Id	Human
XP_015805058.1	ALDH5A1
XP_015801821.1	EMC4
XP_015830317.1	CLASP1
XP_015810490.1	CLASP1
XP_015813383.1	CLASP1
XP_015796022.1	
XP_015823347.1	ZNF385A
XP_015815104.1	ZNF385A
XP_015829296.1	KLHL38
XP_015808337.1	CELF3
XP_015829050.1	CELF3
XP_015805874.1	CELF3
XP_015799656.1	
XP_015825779.1	DNAJC17
XP_015818167.1	G6PC
XP_015818166.1	G6PC
XP_015814928.1	CYTL1
XP_015816896.1	CYTL1
XP_015811414.1	HOXA3
XP_015803959.1	PET100
XP_015811726.1	APCDD1
XP_015812699.1	SEMA4D
XP_015798344.1	SEMA4D
XP_015827135.1	SEMA4D
XP_015820946.1	
XP_015824628.1	KIF6
XP_015804807.1	OSR2
XP_015826767.1	
XP_015823433.1	FKBPL
XP_015796446.1	SLC5A1
XP_015807876.1	GCA
XP_015826283.1	PRAM1
XP_015822031.1	CERS6
XP_015809620.1	N4BP2
XP_015826799.1	SIN3B
XP_015802038.1	BAD
XP_015830823.1	PURB
XP_015815953.1	PURB
XP_015808160.1	TUBGCP3
XP_015796967.1	HMGXB3
XP_015798562.1	HMGXB3
XP_015798031.1	HMGXB3
XP_015799837.1	HMGXB3
XP_015811724.1	VAPA
XP_015826802.1	ACBD6
XP_015832114.1	ZBTB41
XP_015818878.1	ANKS3
XP_015803245.1	GTF3C2
XP_015832390.1	MMP17
XP_015818772.1	MMP17
XP_015830281.1	MMP17
XP_015796658.1	ZNF182
XP_015811602.1	COPA
XP_015808558.1	ADM
XP_015797312.1	ADM
XP_015815609.1	NUCKS1
XP_015797021.1	CA14
XP_015805818.1	CA14
XP_015819631.1	NR2C2
XP_015823884.1	NR2C2
XP_015821293.1	CNOT11
XP_015810691.1	RPL21
XP_015822700.1	NXNL1
XP_015822713.1	NXNL1
XP_015832478.1	PRRC2C
XP_015806441.1	TADA2A
XP_015830814.1	
XP_015821151.1	COX8A
XP_015824596.1	COX8A
XP_015820841.1	FANCA
XP_015828990.1	DDAH2
XP_015826474.1	RAVER2
XP_015810216.1	
XP_015828873.1	PMM2
XP_015821154.1	USP38
XP_015828293.1	
XP_015824611.1	LDAH
XP_015801885.1	SF3B2
XP_015800851.1	
XP_015813938.1	ABHD18
XP_015826223.1	NR5A2
XP_015827914.1	NR5A2
XP_015829507.1	NR5A2
XP_015803973.1	NR5A2
XP_015807755.1	ARPC2
XP_015808256.1	TFB2M
XP_015831863.1	LRRC1
XP_015829438.1	KCNQ4
XP_015818901.1	TELO2
XP_015814523.1	MMEL1
XP_015809122.1	SAMM50
XP_015819347.1	SAMM50
XP_015828738.1	MALT1
XP_015826859.1	MALT1
XP_015819978.1	MALT1
XP_015803623.1	MGA
XP_015803624.1	MGA
XP_015824795.1	MGA
XP_015814862.1	NUDT2
XP_015810389.1	IDI1
XP_015824357.1	MRPL49
XP_015813716.1	
XP_015827104.1	SLC25A42
XP_015812624.1	SLC25A42
XP_015812954.1	IL5RA
XP_015822116.1	FMNL2
XP_015823385.1	FMNL2
XP_015807696.1	FMNL2
XP_015804171.1	FMNL2
XP_015799636.1	MRPL14
XP_015832845.1	CDC37L1
XP_015799548.1	HELLS
XP_015822951.1	NPHP4
XP_015798792.1	HSDL2
XP_015812407.1	EIF4G1
XP_015807614.1	EIF4G1
XP_015815481.1	GNL3L
XP_015808506.1	PRTG
XP_015819567.1	PRTG
XP_015827751.1	MN1
XP_015802900.1	KCNF1
XP_015824644.1	KCNF1
XP_015824771.1	DKC1
XP_015814962.1	TNS2
XP_015824104.1	TNS2
XP_015809248.1	FAM19A2
XP_015823428.1	FAM19A2
XP_015831632.1	FAM19A2
XP_015814142.1	FAM19A2
XP_015826321.1	DPP9
XP_015796014.1	DPP9
XP_015830564.1	DPP9
XP_015825312.1	FAM98B
XP_015810870.1	HNF4G
XP_015808797.1	HNF4G
XP_015812028.1	
XP_015821932.1	OSBPL6
XP_015824763.1	OSBPL6
XP_015817892.1	OSBPL6
XP_015814848.1	PCSK1
XP_015817692.1	PRKCQ
XP_015797912.1	SAPCD2
XP_015801427.1	NUDT9
XP_015808258.1	SMYD3
XP_015807333.1	PCP4
XP_015815947.1	FAM160B2
XP_015821949.1	EVX2
XP_015807122.1	CPD
XP_015824681.1	FBLN5
XP_015823646.1	PTCD3
XP_015830853.1	NUDCD3
XP_015831870.1	KLHL31
XP_015829634.1	KLHL31
XP_015807115.1	FOXN1
XP_015797419.1	PWWP2A
XP_015799738.1	CXCL12
XP_015822934.1	CXCL12
XP_015805583.1	SMPDL3B
XP_015803461.1	C6orf58
XP_015822704.1	PM20D1
XP_015827681.1	TBC1D10A
XP_015801469.1	TBC1D10A
XP_015796720.1	TBC1D10A
XP_015798126.1	ALKBH3
XP_015800281.1	RGS7
XP_015803191.1	RGS7
XP_015825716.1	RGS7
XP_015813071.1	ATG10
XP_015815659.1	CKAP2
XP_015810190.1	ANKH
XP_015829774.1	NFATC2IP
XP_015818609.1	CASP7
XP_015827723.1	ANXA1
XP_015798953.1	ANXA1
XP_015817842.1	SCLY
XP_015807307.1	VEPH1
XP_015823877.1	XKR7
XP_015821079.1	XKR7
XP_015822373.1	LMNB1
XP_015819059.1	USP42
XP_015802102.1	USP42
XP_015812569.1	YEATS2
XP_015810119.1	DNAJB6
XP_015830712.1	DICER1
XP_015828201.1	VPS13A
XP_015824110.1	SARS
XP_015805690.1	CD27
XP_015814227.1	DIDO1
XP_015823756.1	DIDO1
XP_015830830.1	AGPAT5
XP_015800839.1	MZF1
XP_015830491.1	MZF1
XP_015813909.1	DRAXIN
XP_015821436.1	B3GALT2
XP_015815520.1	B3GALT2
XP_015809266.1	B3GALT2
XP_015826630.1	B3GALT2
XP_015821449.1	B3GALT2
XP_015809506.1	B3GALT2
XP_015830059.1	B3GALT2
XP_015818570.1	TENM1
XP_015809880.1	
XP_015827776.1	GPAT4
XP_015796878.1	GPAT4
XP_015798956.1	TJP2
XP_015801876.1	ANKRD46
XP_015800911.1	CTSD
XP_015809527.1	CTSD
XP_015806196.1	PLD3
XP_015802835.1	PLD3
XP_015830307.1	TMEM132D
XP_015830293.1	TMEM132D
XP_015825641.1	GSKIP
XP_015814567.1	HRH1
XP_015810098.1	TGIF1
XP_015797250.1	SETD3
XP_015808473.1	ATXN1L
XP_015820201.1	PSMD7
XP_015826652.1	EEF1D
XP_015812098.1	EEF1D
XP_015814827.1	COPG2
XP_015819286.1	SLC6A15
XP_015801359.1	SLC6A15
XP_015818945.1	SLC6A15
XP_015799248.1	HELT
XP_015820648.1	KIAA0513
XP_015796020.1	METTL12
XP_015819130.1	TEF
XP_015801949.1	VAX2
XP_015826424.1	RFX2
XP_015807259.1	DAW1
XP_015829101.1	DUS3L
XP_015832134.1	BMPR1A
XP_015808642.1	SLC17A6
XP_015819754.1	SLC17A6
XP_015829457.1	TINAGL1
XP_015812711.1	MEX3D
XP_015828807.1	CACNG8
XP_015816173.1	OVOL1
XP_015801727.1	OVOL1
XP_015825102.1	LTBP2
XP_015806316.1	LTBP2
XP_015828981.1	
XP_015821005.1	ASB1
XP_015822343.1	TAAR6
XP_015798128.1	TAAR6
XP_015796610.1	TAAR6
XP_015822346.1	TAAR6
XP_015822347.1	TAAR6
XP_015823319.1	TAAR6
XP_015822355.1	TAAR6
XP_015813428.1	TAAR6
XP_015813421.1	TAAR6
XP_015798158.1	TAAR6
XP_015813422.1	TAAR6
XP_015822348.1	TAAR6
XP_015822341.1	TAAR6
XP_015813429.1	TAAR6
XP_015813423.1	TAAR6
XP_015796382.1	TAAR6
XP_015832733.1	TAAR6
XP_015822344.1	TAAR6
XP_015798129.1	TAAR6
XP_015798084.1	TAAR6
XP_015822345.1	TAAR6
XP_015796271.1	TAAR6
XP_015823297.1	DTX3
XP_015823295.1	DTX3
XP_015832645.1	DTX3
XP_015799791.1	NPM3
XP_015820911.1	MLYCD
XP_015826443.1	IVNS1ABP
XP_015806190.1	KCNK6
XP_015831827.1	PRDM5
XP_015797228.1	PRDM5
XP_015822882.1	LBP
XP_015814705.1	TFAP2C
XP_015814436.1	TFAP2C
XP_015816022.1	RFC5
XP_015803688.1	AGBL5
XP_015807995.1	C14orf166
XP_015814603.1	C12orf10
XP_015830428.1	
XP_015824310.1	CLEC17A
XP_015829352.1	CLEC17A
XP_015805420.1	CLEC17A
XP_015797885.1	CLEC17A
XP_015832110.1	CLEC17A
XP_015824296.1	CLEC17A
XP_015805191.1	CLEC17A
XP_015824614.1	CLEC17A
XP_015825660.1	CLEC17A
XP_015805194.1	CLEC17A
XP_015826286.1	TMEM38A
XP_015823129.1	KIF1B
XP_015824796.1	TYRO3
XP_015813581.1	TYRO3
XP_015804210.1	MED25
XP_015822877.1	ACTR5
XP_015825318.1	BDKRB2
XP_015825315.1	BDKRB2
XP_015825106.1	BDKRB2
XP_015825316.1	BDKRB2
XP_015823697.1	MUC4
XP_015825254.1	MUC4
XP_015803825.1	KIF13B
XP_015832786.1	KIF13B
XP_015824556.1	
XP_015811125.1	P2RY13
XP_015797270.1	KCNK5
XP_015804481.1	KCNK5
XP_015806692.1	SLC47A1
XP_015817209.1	SLC47A1
XP_015806689.1	SLC47A1
XP_015822039.1	SLC47A1
XP_015806691.1	SLC47A1
XP_015832122.1	HOMER3
XP_015826350.1	HOMER3
XP_015803409.1	BRF1
XP_015824508.1	BRF1
XP_015821959.1	CIR1
XP_015826470.1	DNAJC6
XP_015800063.1	SLC29A1
XP_015829741.1	SLC29A1
XP_015805439.1	BCAN
XP_015829120.1	BCAN
XP_015829659.1	CDK5R1
XP_015822247.1	CDK5R1
XP_015800677.1	CDK5R1
XP_015818141.1	CDK5R1
XP_015817907.1	HOXB6
XP_015824758.1	HOXB6
XP_015823605.1	ABTB1
XP_015814855.1	RHOBTB3
XP_015826078.1	HRASLS
XP_015802844.1	DNAJC4
XP_015832798.1	SYMPK
XP_015801728.1	PTGDR2
XP_015827580.1	PTGDR2
XP_015797970.1	SVBP
XP_015827549.1	LRRTM4
XP_015827548.1	LRRTM4
XP_015831589.1	LRRTM4
XP_015831354.1	LRRTM4
XP_015811250.1	THRB
XP_015806907.1	ITPKC
XP_015797577.1	RCC1
XP_015805550.1	GNL2
XP_015811216.1	ILF2
XP_015801251.1	
XP_015813230.1	FAM159A
XP_015799005.1	RILPL1
XP_015807114.1	RILPL1
XP_015828549.1	RILPL1
XP_015814692.1	NECAB1
XP_015823076.1	NECAB1
XP_015832671.1	NECAB1
XP_015827359.1	IFT81
XP_015822191.1	VWC2L
XP_015812109.1	VWC2L
XP_015812970.1	EDNRB
XP_015821877.1	EDNRB
XP_015799960.1	EDNRB
XP_015824663.1	MAP4K5
XP_015806169.1	MAP4K5
XP_015798251.1	MAP4K5
XP_015819112.1	GDF10
XP_015799761.1	GDF10
XP_015817032.1	LIMK1
XP_015807083.1	LIMK1
XP_015811517.1	PFKP
XP_015810376.1	PFKP
XP_015826708.1	CYLD
XP_015815508.1	CYLD
XP_015808310.1	CYLD
XP_015801823.1	CYLD
XP_015810155.1	ENOSF1
XP_015823811.1	OR51F2
XP_015806411.1	OR51F2
XP_015799315.1	PMCH
XP_015824792.1	HAUS2
XP_015819018.1	ZDHHC4
XP_015820284.1	
XP_015823333.1	NSMCE1
XP_015813055.1	KCNB2
XP_015810759.1	KCNB2
XP_015810395.1	RNPC3
XP_015815633.1	RNPC3
XP_015825155.1	PLS1
XP_015812577.1	ALG3
XP_015799786.1	KIAA1143
XP_015809604.1	IGDCC4
XP_015819465.1	NPY2R
XP_015830311.1	NPY2R
XP_015827694.1	NPY2R
XP_015800395.1	PRKG1
XP_015818009.1	PRKG1
XP_015827836.1	PRKG1
XP_015800572.1	EPAS1
XP_015818403.1	EPAS1
XP_015804713.1	MC5R
XP_015812816.1	TOE1
XP_015816144.1	SKA2
XP_015812139.1	DCX
XP_015816320.1	DCX
XP_015810908.1	MAK
XP_015797562.1	
XP_015827241.1	PLEKHB2
XP_015828331.1	CBWD1
XP_015817278.1	RNF43
XP_015831670.1	SULT6B1
XP_015830735.1	DNAJC10
XP_015809788.1	ZGLP1
XP_015819079.1	FSCN2
XP_015801037.1	FSCN2
XP_015823485.1	
XP_015829302.1	MTERF3
XP_015820582.1	FUK
XP_015810256.1	NRBP2
XP_015812342.1	PIM3
XP_015811689.1	ARL1
XP_015822962.1	LRRC47
XP_015817441.1	NUP98
XP_015823809.1	CDH4
XP_015814245.1	CDH4
XP_015825728.1	THBS1
XP_015803172.1	THBS1
XP_015826620.1	DDX41
XP_015826202.1	CES1
XP_015831995.1	SLCO4A1
XP_015830454.1	SLA2
XP_015817491.1	CSF1R
XP_015799814.1	CSF1R
XP_015819967.1	RCN2
XP_015802998.1	SLC24A4
XP_015816384.1	UBASH3B
XP_015811839.1	CPLX4
XP_015798387.1	CPLX4
XP_015806956.1	RHOU
XP_015810025.1	RHOU
XP_015809306.1	RHOU
XP_015817815.1	EPHX4
XP_015806334.1	EXOC3L2
XP_015816110.1	EXOC3L2
XP_015830887.1	TNFRSF21
XP_015820600.1	MAPK8IP1
XP_015809184.1	MAPK8IP1
XP_015815679.1	MSANTD2
XP_015800020.1	NSMCE4A
XP_015827858.1	SLC25A37
XP_015828481.1	KNTC1
XP_015810922.1	CA2
XP_015813060.1	CA2
XP_015805835.1	MAEA
XP_015799826.1	
XP_015830979.1	RP3-382I10.7
XP_015808006.1	POGLUT1
XP_015817290.1	GUSB
XP_015826821.1	TOR3A
XP_015817626.1	ITIH2
XP_015812576.1	MTERF4
XP_015801216.1	AIMP2
XP_015799329.1	SEC23IP
XP_015802834.1	ACP1
XP_015798789.1	FGF16
XP_015819844.1	KIF23
XP_015809078.1	KIF23
XP_015821050.1	TRIM25
XP_015798147.1	TRIM25
XP_015812101.1	TRIM25
XP_015819588.1	TRIM25
XP_015810060.1	TRIM25
XP_015801805.1	TRIM25
XP_015804562.1	TRIM25
XP_015807961.1	TRIM25
XP_015830001.1	TRIM25
XP_015807394.1	TRIM25
XP_015798148.1	TRIM25
XP_015824076.1	TRIM25
XP_015796513.1	TRIM25
XP_015811574.1	TRIM25
XP_015797262.1	NDUFS6
XP_015797395.1	CD2BP2
XP_015808415.1	TTR
XP_015823824.1	COL9A3
XP_015807313.1	GMPS
XP_015799565.1	POLR1B
XP_015820663.1	GNMT
XP_015825949.1	GNMT
XP_015801921.1	WDR19
XP_015816473.1	TAF1
XP_015832331.1	NEFL
XP_015824864.1	NEFL
XP_015827554.1	NEFL
XP_015827040.1	
XP_015804060.1	MGRN1
XP_015800522.1	
XP_015826585.1	NCBP2
XP_015826141.1	SAMD13
XP_015816497.1	RAB6A
XP_015804461.1	RAB6A
XP_015819444.1	TEAD4
XP_015818147.1	ORMDL3
XP_015822937.1	HES2
XP_015805251.1	HES2
XP_015822940.1	HES2
XP_015811640.1	HNRNPC
XP_015821637.1	GPR108
XP_015801509.1	CCDC96
XP_015799246.1	PRIMPOL
XP_015801746.1	GIGYF1
XP_015804343.1	CACNB1
XP_015808955.1	IL1R2
XP_015821368.1	IL1R2
XP_015799370.1	PLPP4
XP_015797960.1	PLPP4
XP_015828590.1	PLPP4
XP_015808336.1	MSRB3
XP_015830241.1	
XP_015815534.1	OR2T4
XP_015807660.1	B4GALT7
XP_015826842.1	PRDX2
XP_015817627.1	
XP_015829389.1	ZCCHC9
XP_015802400.1	TRMT44
XP_015796333.1	TRMT44
XP_015807688.1	MPI
XP_015797434.1	
XP_015827695.1	C5orf34
XP_015804455.1	ZNF777
XP_015825110.1	PTX3
XP_015807308.1	PTX3
XP_015824593.1	RRH
XP_015802163.1	CTDSP1
XP_015831283.1	C15orf40
XP_015810884.1	MTMR6
XP_015808951.1	PCNP
XP_015808289.1	QSER1
XP_015803561.1	CEP85L
XP_015822497.1	ADA
XP_015798969.1	MAN1B1
XP_015798968.1	MAN1B1
XP_015812436.1	BOK
XP_015831899.1	BOK
XP_015817836.1	BOK
XP_015827517.1	RNF10
XP_015831184.1	PTPN11
XP_015832461.1	PTPN11
XP_015796654.1	WNT16
XP_015805453.1	PLEKHF2
XP_015823575.1	LIME1
XP_015813785.1	UQCC1
XP_015806011.1	ARHGEF1
XP_015801951.1	NUFIP1
XP_015797812.1	OR1J2
XP_015809519.1	SIRT3
XP_015820244.1	SIRT3
XP_015811534.1	NRP1
XP_015808335.1	NRP1
XP_015810367.1	NRP1
XP_015817386.1	LRRC32
XP_015830665.1	LRRC32
XP_015798945.1	ALAD
XP_015828745.1	MRPS30
XP_015812295.1	ADCY1
XP_015826677.1	ADCY1
XP_015819426.1	
XP_015817261.1	DHX33
XP_015822392.1	DBI
XP_015815460.1	ACOT8
XP_015800156.1	HHAT
XP_015821347.1	GJB2
XP_015807196.1	NAALAD2
XP_015801351.1	XPO6
XP_015807939.1	LYPD6
XP_015797081.1	DOCK7
XP_015826485.1	DOCK7
XP_015804031.1	DOCK7
XP_015811907.1	
XP_015797151.1	
XP_015802837.1	FAM150B
XP_015813172.1	MIER1
XP_015828545.1	USP39
XP_015810634.1	GARS
XP_015823183.1	GPR157
XP_015826365.1	FAM163A
XP_015825208.1	FAM163A
XP_015804992.1	GRIK2
XP_015814489.1	GRIK2
XP_015824185.1	GRIK2
XP_015802885.1	GRIK2
XP_015808030.1	NDFIP2
XP_015812190.1	CDK5
XP_015807544.1	USP32
XP_015805634.1	RASIP1
XP_015823887.1	MRPS25
XP_015826504.1	CYR61
XP_015796269.1	CYR61
XP_015800688.1	CYR61
XP_015809946.1	CYR61
XP_015796830.1	CYR61
XP_015817100.1	ALOX5AP
XP_015800204.1	HOXA10-HOXA9
XP_015810683.1	ATP8A2
XP_015808279.1	COX18
XP_015806675.1	HIC1
XP_015824949.1	TRIM9
XP_015814805.1	SYNPR
XP_015823207.1	SYNPR
XP_015814355.1	SYNPR
XP_015807500.1	FLI1
XP_015805160.1	FLI1
XP_015811999.1	AC092835.2
XP_015797570.1	AC092835.2
XP_015822045.1	COBLL1
XP_015807871.1	COBLL1
XP_015828775.1	
XP_015813204.1	COL15A1
XP_015802139.1	COL15A1
XP_015830291.1	COL15A1
XP_015810988.1	COL15A1
XP_015806074.1	MYH10
XP_015800753.1	MYH10
XP_015809818.1	MYH10
XP_015817590.1	ASB3
XP_015817022.1	CCT6A
XP_015796182.1	FEZF2
XP_015808216.1	CMTM3
XP_015806002.1	ITGA8
XP_015827856.1	ITGA8
XP_015823898.1	RHO
XP_015823729.1	RHO
XP_015814353.1	RHO
XP_015814352.1	RHO
XP_015796922.1	MRPS35
XP_015819443.1	MRPS35
XP_015799590.1	PLEKHH2
XP_015796372.1	PLEKHH2
XP_015803438.1	ADGB
XP_015801942.1	ANKRD53
XP_015820401.1	FNBP4
XP_015829371.1	ZCCHC17
XP_015826069.1	NDUFB5
XP_015827855.1	ATXN1
XP_015813996.1	ATXN1
XP_015823790.1	ATXN1
XP_015829262.1	ATXN1
XP_015803952.1	DSN1
XP_015814589.1	SMO
XP_015815810.1	IER3
XP_015805803.1	CNFN
XP_015826017.1	CNFN
XP_015797409.1	CNFN
XP_015796132.1	CNFN
XP_015817436.1	CNFN
XP_015805568.1	CNFN
XP_015822431.1	CLCNKB
XP_015814475.1	CISH
XP_015814218.1	CISH
XP_015811288.1	SACM1L
XP_015805034.1	SACM1L
XP_015820577.1	RBL2
XP_015798617.1	BHMT
XP_015828442.1	BHMT
XP_015811845.1	KLF2
XP_015812830.1	KLF2
XP_015798542.1	FAM73B
XP_015825161.1	SLC1A6
XP_015811834.1	SLC1A6
XP_015827559.1	KLHL22
XP_015824240.1	PARD6B
XP_015823788.1	BMP7
XP_015810454.1	BMP7
XP_015829587.1	BMP7
XP_015813997.1	BMP7
XP_015827530.1	HPS4
XP_015826169.1	HTR2B
XP_015820638.1	ZFPM1
XP_015806001.1	FAM188A
XP_015805219.1	
XP_015818717.1	TCTN3
XP_015812471.1	RC3H1
XP_015810410.1	RBBP8
XP_015829304.1	PTDSS1
XP_015811347.1	PTDSS1
XP_015796293.1	PTDSS1
XP_015822339.1	PTDSS1
XP_015818056.1	SAMD8
XP_015799688.1	SAMD8
XP_015814967.1	HDAC7
XP_015824072.1	HDAC7
XP_015802584.1	
XP_015798581.1	ADAMTS6
XP_015809367.1	WISP3
XP_015805858.1	
XP_015805489.1	SIGLEC10
XP_015831597.1	PFAS
XP_015804388.1	HBG1
XP_015817845.1	AMOTL2
XP_015812439.1	AMOTL2
XP_015812143.1	CABLES1
XP_015832657.1	STX1B
XP_015807438.1	CLDN17
XP_015808041.1	
XP_015802040.1	C11orf85
XP_015815249.1	FKBP11
XP_015808409.1	MC1R
XP_015823872.1	CRELD1
XP_015818165.1	PSME3
XP_015809627.1	KLHL5
XP_015817570.1	COX11
XP_015808328.1	MMP2
XP_015799172.1	P2RY10
XP_015803492.1	
XP_015814294.1	CYB561D2
XP_015822589.1	TUBA1B
XP_015822504.1	TUBA1B
XP_015817232.1	SLC35E3
XP_015805792.1	CEACAM5
XP_015816910.1	CEACAM5
XP_015797003.1	CEACAM5
XP_015805796.1	CEACAM5
XP_015805790.1	CEACAM5
XP_015807760.1	CEACAM5
XP_015816307.1	CHRDL2
XP_015800992.1	BCL11A
XP_015826186.1	BCL11A
XP_015810189.1	OTULIN
XP_015821636.1	TMEM182
XP_015796009.1	TMEM182
XP_015802228.1	TMEM182
XP_015803444.1	RNF217
XP_015803122.1	HADHB
XP_015807865.1	TRERF1
XP_015813451.1	TRERF1
XP_015804376.1	STARD3
XP_015800874.1	CPSF4
XP_015830331.1	ZP4
XP_015812404.1	ZP4
XP_015820179.1	ZP4
XP_015829099.1	ZP4
XP_015816010.1	SUDS3
XP_015806137.1	CLDN12
XP_015814612.1	SP1
XP_015811111.1	TCF24
XP_015804139.1	STAT3
XP_015815223.1	STAT3
XP_015803775.1	NDUFAF7
XP_015805048.1	FRAT2
XP_015830489.1	SLC9A3R1
XP_015801432.1	SLC9A3R1
XP_015814039.1	PFKFB2
XP_015823627.1	PFKFB2
XP_015817016.1	CLDN3
XP_015806227.1	CLDN3
XP_015817018.1	CLDN3
XP_015809920.1	ADAP2
XP_015801264.1	ADAP2
XP_015831874.1	
XP_015813095.1	WDR78
XP_015830200.1	MAD2L1
XP_015828829.1	TNFRSF11B
XP_015814430.1	TNFRSF11B
XP_015804572.1	TNFRSF11B
XP_015828828.1	TNFRSF11B
XP_015804571.1	TNFRSF11B
XP_015831671.1	SLC30A6
XP_015830721.1	SLC30A6
XP_015817468.1	RBMX2
XP_015811438.1	RIMS3
XP_015817951.1	TUBGCP2
XP_015826757.1	C19orf25
XP_015829811.1	NIT2
XP_015808452.1	RPL13
XP_015816793.1	IL2RG
XP_015820923.1	NDUFA9
XP_015806282.1	
XP_015805104.1	DCST2
XP_015818881.1	RHBDL1
XP_015809921.1	RHBDL1
XP_015819917.1	TBC1D2B
XP_015821167.1	AKAP11
XP_015797545.1	AKAP11
XP_015801845.1	AKAP11
XP_015827566.1	ANKRD39
XP_015810486.1	SAMD9L
XP_015801808.1	SAMD9L
XP_015801149.1	SAMD9L
XP_015812068.1	MYOM2
XP_015810166.1	MYOM2
XP_015809259.1	MYOM2
XP_015810064.1	MYOM2
XP_015820992.1	PARP9
XP_015806048.1	U2AF2
XP_015830883.1	U2AF2
XP_015805862.1	U2AF2
XP_015817724.1	SZT2
XP_015829288.1	GMNN
XP_015797529.1	SMAD4
XP_015805049.1	SMAD4
XP_015828268.1	SMAD4
XP_015823408.1	HOXC9
XP_015821944.1	HOXC9
XP_015814918.1	STX18
XP_015817342.1	WWC1
XP_015828904.1	ZNF660
XP_015800120.1	PPP4R3B
XP_015829564.1	DENND1A
XP_015796911.1	GGT1
XP_015826567.1	GGT1
XP_015827545.1	GGT1
XP_015811935.1	FASTK
XP_015814721.1	BCDIN3D
XP_015814592.1	BCDIN3D
XP_015799865.1	CCAR1
XP_015829306.1	LRRC14B
XP_015810529.1	ARGLU1
XP_015797465.1	FZD1
XP_015828022.1	PAPD4
XP_015808000.1	NHLH2
XP_015826130.1	TTLL7
XP_015799673.1	RNF40
XP_015818924.1	RNF40
XP_015798539.1	RNF40
XP_015800075.1	AKT3
XP_015832605.1	AKT3
XP_015825307.1	SPATA7
XP_015808822.1	ANKRD11
XP_015798468.1	XXbac-BPG32J3.19
XP_015829282.1	FAM65B
XP_015832348.1	RPTN
XP_015809329.1	HK1
XP_015810027.1	HK1
XP_015809067.1	MAP2K5
XP_015832698.1	SLC6A8
XP_015823521.1	SLC6A8
XP_015801867.1	GUCY2F
XP_015807529.1	GUCY2F
XP_015816408.1	GUCY2F
XP_015812029.1	GUCY2F
XP_015811276.1	ATAT1
XP_015799094.1	TMEM134
XP_015807694.1	LTC4S
XP_015800229.1	PAX2
XP_015818497.1	PAX2
XP_015799942.1	RBM22
XP_015799935.1	ERLEC1
XP_015824774.1	CINP
XP_015827438.1	AP3M2
XP_015809605.1	FAM160A1
XP_015801553.1	FAM160A1
XP_015831560.1	RPL5
XP_015817801.1	RPL5
XP_015800182.1	MAL
XP_015810068.1	MAL
XP_015800181.1	MAL
XP_015802504.1	
XP_015822847.1	SOX17
XP_015810269.1	SOX17
XP_015810181.1	SOX17
XP_015825450.1	RSAD2
XP_015823461.1	LGR6
XP_015827488.1	UNC93B1
XP_015804871.1	GDF6
XP_015800536.1	KLB
XP_015818970.1	GJD3
XP_015824841.1	
XP_015817161.1	
XP_015823150.1	LZIC
XP_015823226.1	ALX3
XP_015800054.1	
XP_015802831.1	FBXO25
XP_015820117.1	SEMA3A
XP_015815090.1	SEMA3A
XP_015822979.1	SEMA3A
XP_015812115.1	BCL10
XP_015805679.1	NOP2
XP_015798665.1	NOP2
XP_015821774.1	
XP_015801754.1	DCTN1
XP_015824848.1	DCTN1
XP_015808464.1	PHLPP2
XP_015830827.1	IGFBP5
XP_015802174.1	IGFBP5
XP_015814597.1	NCKAP1L
XP_015818583.1	DBF4B
XP_015831183.1	SDF2L1
XP_015819650.1	HBP1
XP_015810489.1	HBP1
XP_015806417.1	RXFP1
XP_015808312.1	TOX3
XP_015808181.1	TRMT10C
XP_015830365.1	MXI1
XP_015823052.1	MXI1
XP_015824379.1	TMED4
XP_015818745.1	TAOK2
XP_015816300.1	EPHB4
XP_015797493.1	EPHB4
XP_015797601.1	EPHB4
XP_015796229.1	
XP_015819217.1	UTS2R
XP_015806072.1	UTS2R
XP_015832823.1	UTS2R
XP_015819218.1	UTS2R
XP_015830216.1	C7orf43
XP_015807178.1	P2RX7
XP_015831465.1	P2RX7
XP_015798010.1	P2RX7
XP_015802135.1	P2RX7
XP_015797656.1	P2RX7
XP_015815754.1	P2RX7
XP_015796101.1	P2RX7
XP_015832292.1	P2RX7
XP_015806979.1	P2RX7
XP_015800500.1	P2RX7
XP_015819590.1	
XP_015803752.1	
XP_015808840.1	METTL15
XP_015815948.1	RAPGEF1
XP_015798507.1	RAPGEF1
XP_015808491.1	POLR2M
XP_015823830.1	
XP_015815369.1	C1orf233
XP_015828056.1	DDHD2
XP_015829212.1	POLR2K
XP_015828504.1	HIP1R
XP_015798998.1	HIP1R
XP_015816902.1	P4HA2
XP_015800491.1	ZNF33A
XP_015805135.1	ABCC5
XP_015810449.1	FEN1
XP_015797471.1	FEN1
XP_015798987.1	ENTPD2
XP_015798856.1	MAMDC2
XP_015820687.1	ZCCHC2
XP_015829709.1	KHDRBS3
XP_015824510.1	BTBD6
XP_015803410.1	BTBD6
XP_015819839.1	CHID1
XP_015807963.1	CCKAR
XP_015802332.1	CCKAR
XP_015821749.1	CCKAR
XP_015796415.1	MIF
XP_015809055.1	SPATA5L1
XP_015806663.1	PIH1D2
XP_015829767.1	EIF3D
XP_015813695.1	PYGM
XP_015816230.1	PYGM
XP_015823200.1	AMPD2
XP_015823199.1	AMPD2
